Rank,Name,Team,Player_Type,Position,Salary_M,Dollar_Per_Score,Rostered_By,HR,R,RBI,SB,AVG,OBP,SLG,W,QS,SO,ERA,WHIP,IP,SV,HLD,Strategy_Score,FPTS,WAR,z_HR,z_R,z_RBI,z_QS,z_K,z_ERA,z_WHIP,Block_Type,Blocking_Franchise,Tier
11,Dylan Cease,TOR,Pitcher,SP,14.6,2.7200986323649157,Nick & Alex Gianaris,22.4499,80.0197,,,0.223294,,,12.2999,17.3738,216.007,3.60353,1.21641,184.857,0.0,0.0,5.367452424806532,900.2,3.7996,,,,1.4286943282390099,2.1538534563400176,1.231620710599967,0.9964200262800018,,,Tier 1 - Elite
12,George Kirby,SEA,Pitcher,SP,23.9,4.537831481631806,Jake Levine & Johnny Drago,22.0991,75.4406,,,0.239141,,,11.4747,17.1252,174.012,3.50094,1.11685,178.218,0.0,0.0,5.266832868682366,842.5999999999999,3.16044,,,,1.3621976444943975,0.943410486319695,1.4524077869468872,2.0947277007315015,,,Tier 1 - Elite
13,Jesús Luzardo,PHI,Pitcher,SP,,,,23.3458,77.847,,,0.230748,,,11.8543,17.3246,198.811,3.57443,1.19356,180.975,0.0,0.0,5.159967670172635,852.1,3.50965,,,,1.4155340835075745,1.6582045145024307,1.2942477105190175,1.2484924485501583,,,Tier 1 - Elite
14,Joe Ryan,MIN,Pitcher,SP,,,,26.5899,82.7943,,,0.233546,,,11.2976,16.6926,199.467,3.82952,1.1391,182.4,0.0,0.0,5.049370615156263,827.2999999999998,3.43254,,,,1.2464837853314072,1.6771127318695775,0.7452607205069713,1.8492742479739084,,,Tier 1 - Elite
15,Hunter Greene,CIN,Pitcher,SP,,,,28.1852,85.7245,,,0.224551,,,11.0564,16.5559,220.007,3.93789,1.18682,183.816,0.0,0.0,4.937912643423494,836.0000000000002,3.57287,,,,1.2099186338113415,2.2691474646762786,0.5120343293994981,1.3228455394079632,,,Tier 1 - Elite
16,Brent Rooker,ATH,Batter,Batter,,,,30.4818,82.3599,90.7507,5.3677,0.257725,0.334903,0.485611,,,155.096,,,,,,4.916511815488889,807.0,2.16814,1.669565400831799,1.164403519460196,1.9622525520475584,,,,,,,Tier 1 - Elite
17,Hunter Brown,HOU,Pitcher,SP,,,,20.8733,81.0952,,,0.235102,,,12.0274,17.6519,199.991,3.63146,1.22679,184.176,0.0,0.0,4.886672673491547,870.3000000000002,3.58674,,,,1.5030818091295042,1.6922162469616278,1.171511703461167,0.8819118537126392,,,Tier 1 - Elite
18,Nick Pivetta,SDP,Pitcher,SP,,,,29.436,89.6149,,,0.232487,,,11.5509,17.127,209.948,3.95757,1.20092,191.005,0.0,0.0,4.671411309047583,839.7,2.86745,,,,1.3626791168626207,1.9792118572126658,0.469680399557336,1.1672997558627027,,,Tier 1 - Elite
19,Framber Valdez,,Pitcher,SP,,,,16.098,81.3849,,,0.248888,,,12.078,19.1945,178.531,3.47402,1.27679,190.384,0.0,0.0,4.572397890626128,886.2,3.71929,,,,1.915703628696838,1.0736638922375863,1.5103431421984623,0.3303310609989492,,,Tier 1 - Elite
20,Sonny Gray,BOS,Pitcher,SP,4.2,0.9230706409675685,Steve Cornish,21.2188,80.6759,,,0.243104,,,11.5177,17.0218,189.835,3.68218,1.20609,181.357,0.0,0.0,4.550030965774768,854.5000000000001,3.87305,,,,1.3345397317864611,1.3994847597958604,1.0623556403720191,1.110266301896106,,,Tier 1 - Elite
21,Blake Snell,LAD,Pitcher,SP,10.5,2.3781759306544714,Nolan Chidester,18.9074,69.7441,,,0.217713,,,11.346,15.9606,200.444,3.52217,1.25161,163.779,0.0,0.0,4.415148545007102,806.1000000000001,3.28673,,,,1.0506850222539483,1.7052732934057087,1.4067180547035387,0.6081071482095655,,,Tier 1 - Elite
22,Nathan Eovaldi,TEX,Pitcher,SP,,,,20.2668,76.057,,,0.242858,,,11.1122,16.8483,171.35,3.59563,1.18917,174.547,0.0,0.0,4.322437660409798,814.2,3.3949,,,,1.288131145182719,0.866682323771913,1.2486225421931116,1.296921242150419,,,Tier 1 - Elite
23,Fernando Tatis Jr.,SDP,Batter,Batter,25.7,5.9545878223301685,Tyler Hart,30.3064,97.4287,77.9354,23.7437,0.274794,0.35984,0.502477,,,119.373,,,,,,4.31599982514709,917.0,5.0858,1.644502741834627,2.186733059940946,1.0401177455493311,,,,,Partial,Tyler Hart,Tier 1 - Elite
24,Julio Rodríguez,SEA,Batter,Batter,33.1,7.6726393425386,Brenden Freedman,29.7784,84.4803,90.6497,22.5935,0.274754,0.334297,0.490239,,,134.157,,,,,,4.3140304818561175,857.0,5.58504,1.569057565377918,1.3082602006581272,1.954985019063054,,,,,,,Tier 1 - Elite
25,Zack Wheeler,PHI,Pitcher,SP,,,,14.5086,48.7226,,,0.222277,,,8.6982,13.0375,145.14,3.20176,1.08713,125.797,0.0,0.0,4.201850172386591,653.9000000000001,3.01561,,,,0.26880064472427523,0.11121833414856137,2.096282214293329,2.422587323920518,,,Tier 2 - Strong
26,Freddie Freeman,LAD,Batter,Batter,24.6,5.906460986549892,Zack Semler,23.9556,88.2507,91.6627,7.4261,0.279229,0.362303,0.469213,,,124.145,,,,,,4.164930582969864,900.9,3.1756,0.7370458731958601,1.5640596869761227,2.0278762162244712,,,,,Partial,Zack Semler,Tier 1 - Elite
27,Yoshinobu Yamamoto,LAD,Pitcher,SP,23.8,5.721854590226327,Brenden Freedman,17.3478,67.5338,,,0.236291,,,11.3405,15.8287,169.568,3.43223,1.20337,161.291,0.0,0.0,4.159490533131251,783.3000000000002,3.60515,,,,1.0154037970491439,0.8153188430581092,1.6002806791956135,1.1402722970197314,,,Tier 2 - Strong
28,Rafael Devers,SFG,Batter,Batter,18.4,4.475768628880052,Nick & Alex Gianaris,28.6226,81.9221,83.3638,2.1866,0.248672,0.346763,0.464339,,,154.66,,,,,,4.111025731150034,814.4,2.79592,1.4039069310054468,1.1347013618350057,1.4307224589462064,,,,,,,Tier 1 - Elite
29,Bryce Harper,PHI,Batter,Batter,24.4,5.958170943920932,Jake Levine & Johnny Drago,26.9251,82.7258,86.7633,9.172,0.272763,0.367696,0.494792,,,128.49,,,,,,4.095216506819949,871.0,3.54154,1.1613535464689624,1.189227684547125,1.6753361062810896,,,,,,,Tier 1 - Elite
30,Bobby Witt Jr.,KCR,Batter,Batter,35.7,8.776959254407535,Nick & Alex Gianaris,26.4269,97.2182,86.2704,31.3062,0.291511,0.349368,0.510682,,,105.948,,,,,,4.067467896933952,928.4,6.38615,1.0901664500471204,2.1724518717725974,1.6398691062012647,,,,,,,Tier 1 - Elite
31,Ketel Marte,ARI,Batter,Batter,,,,26.0001,90.264,79.3525,5.8557,0.280125,0.364727,0.494964,,,98.1996,,,,,,4.017626276836626,862.1,4.49146,1.0291815990779472,1.7006502624598967,1.1420862702259789,,,,,,,Tier 1 - Elite
32,Pablo López,MIN,Pitcher,SP,12.6,3.1648580072214276,Steve Cornish,22.9737,83.2751,,,0.245654,,,11.2099,16.6539,181.049,3.81451,1.20775,181.85,0.0,0.0,3.9812212652984424,811.1000000000001,3.24153,,,,1.2361321294146075,1.1462414704852628,0.7775642005339458,1.0919538195780116,Partial,Steve Cornish,Tier 2 - Strong
33,Spencer Schwellenbach,ATL,Pitcher,SP,7.3,1.9052050644346765,Tyler Hart,20.0931,73.5008,,,0.247013,,,11.1162,16.0494,162.638,3.64809,1.18473,166.671,0.0,0.0,3.8316085424463733,770.4,2.98116,,,,1.0744376590862956,0.6155719736155365,1.1357217718923085,1.3459016165433948,Partial,Tyler Hart,Tier 2 - Strong
34,Freddy Peralta,MIL,Pitcher,SP,7.5,1.9703562802709367,Tyler Hart,24.8697,82.7815,,,0.226944,,,10.8695,15.6516,199.68,3.90843,1.23362,177.641,0.0,0.0,3.806418197103268,787.3000000000001,2.94727,,,,0.9680322657089555,1.6832521378134833,0.5754360963278559,0.8065659174279505,,,Tier 2 - Strong
35,MacKenzie Gore,WSN,Pitcher,SP,2.0,0.5302762266665145,Brenden Freedman,22.0977,79.1871,,,0.229737,,,10.5379,15.8066,192.89,3.76138,1.25099,175.533,0.0,0.0,3.771619204150708,798.0000000000002,2.92779,,,,1.0094923863059582,1.4875405586626793,0.8919068983242942,0.6149467500392135,,,Tier 2 - Strong
36,Corbin Carroll,ARI,Batter,Batter,33.0,9.082652235525495,Jake Levine & Johnny Drago,26.8982,91.0918,85.6888,32.5681,0.261203,0.34875,0.499266,,,126.127,,,,,,3.633299959556441,892.0,4.57861,1.1575098433502398,1.7568116285680124,1.5980196291340587,,,,,,,Tier 1 - Elite
37,Eugenio Suárez,,Batter,Batter,,,,30.4321,71.4453,82.2477,3.0288,0.230072,0.306333,0.450044,,,170.309,,,,,,3.591831288822769,681.4,2.38043,1.6624638378206276,0.4239120402096136,1.3504126216788248,,,,,,,Tier 1 - Elite
38,Austin Riley,ATL,Batter,Batter,21.7,6.085509939629177,Steve Cornish,26.2878,77.1028,84.6615,2.6802,0.260124,0.323066,0.462227,,,156.89,,,,,,3.5658474335385435,742.6,2.98552,1.0702906469313473,0.8077401735228062,1.5240994644312718,,,,,,,Tier 1 - Elite
39,Luis Castillo,SEA,Pitcher,SP,18.7,5.329411975086424,Nick & Alex Gianaris,24.9223,84.0676,,,0.241479,,,10.9149,16.4458,171.802,3.85787,1.21933,181.473,0.0,0.0,3.5088298835626706,759.9000000000001,2.36351,,,,1.1804685739550178,0.8797105467139105,0.6842478185239789,0.9642077079855219,,,Tier 2 - Strong
40,Michael King,SDP,Pitcher,SP,,,,22.986,80.0817,,,0.234609,,,11.0715,15.7364,182.292,3.7932,1.24476,175.764,0.0,0.0,3.47811439154908,768.7,3.06207,,,,0.9907149639452512,1.1820690835757557,0.8234261032238065,0.6836737168113387,,,Tier 2 - Strong
41,Spencer Strider,ATL,Pitcher,SP,12.5,3.6837895609470475,Steve Cornish,21.1423,73.3784,,,0.22898,,,10.6405,14.5594,187.188,3.82731,1.22644,160.846,0.0,0.0,3.3932448618987987,748.1000000000001,2.66349,,,,0.6758855320570417,1.323188949779339,0.7500169290918886,0.8857729192616358,Partial,Steve Cornish,Tier 2 - Strong
42,Tyler Glasnow,LAD,Pitcher,SP,14.0,4.23411619414678,Nolan Chidester,17.3567,64.0956,,,0.225809,,,10.2827,13.782,171.981,3.59439,1.21345,147.787,0.0,0.0,3.3064751551583607,731.1000000000001,3.06784,,,,0.467942965914396,0.8848699535869583,1.2512911841140602,1.029073609208653,,,Tier 2 - Strong
43,Brandon Woodruff,MIL,Pitcher,SP,,,,23.2226,73.059,,,0.234276,,,9.8741,14.3198,168.101,3.84306,1.17027,159.667,0.0,0.0,3.3026166188464776,715.3,2.95654,,,,0.6117962101535458,0.7730347655007851,0.7161208724346713,1.5054187817961953,,,Tier 2 - Strong
44,Manny Machado,SDP,Batter,Batter,8.5,2.578869532278928,Tyler Hart,26.2769,75.1958,85.2932,8.7805,0.268068,0.329114,0.465295,,,115.953,,,,,,3.296017845652165,757.4,3.33102,1.06873316128101,0.6783614284537374,1.5695539256818805,,,,,,,Tier 1 - Elite
45,Ranger Suárez,,Pitcher,SP,5.0,1.5252315173310187,JD Barnett,17.7197,73.1112,,,0.247707,,,10.9059,16.0555,154.273,3.54939,1.24229,168.759,0.0,0.0,3.278190847216054,754.0,3.26464,,,,1.0760693154452743,0.37446337868233004,1.3481370602775409,0.7109218079713971,,,Tier 2 - Strong
46,José Ramírez,CLE,Batter,Batter,20.0,6.146395528990276,Brenden Freedman,26.569,82.6963,87.0738,29.8253,0.275213,0.348333,0.489903,,,72.1929,,,,,,3.2539396310678987,871.3,4.30175,1.1104709189382158,1.1872262828798261,1.697678373525532,,,,,,,Tier 1 - Elite
47,Aaron Nola,PHI,Pitcher,SP,11.1,3.4690299724285754,JD Barnett,26.5596,86.4155,,,0.247656,,,11.0276,15.8772,175.84,3.9876,1.22368,180.677,0.0,0.0,3.1997417399738364,748.3000000000002,2.95229,,,,1.0283768025262707,0.9960998481293665,0.4050519181975738,0.9162201790194301,,,Tier 2 - Strong
48,Riley Greene,DET,Batter,Batter,17.0,5.464282945455856,Tyler Hart,25.5058,73.2183,82.284,3.2905,0.260792,0.331343,0.468286,,,156.94,,,,,,3.1111126875553445,748.6,2.8436,0.9585517681640242,0.5441996726204469,1.35302461620692,,,,,Partial,Tyler Hart,Tier 1 - Elite
49,Kyle Bradish,BAL,Pitcher,SP,,,,18.8694,70.6442,,,0.240165,,,10.5462,14.4754,166.64,3.70097,1.23385,157.977,0.0,0.0,2.9898620859808815,721.9,3.12603,,,,0.6534168215399564,0.7309236289559653,1.0219171067473125,0.8040286457814679,,,Tier 2 - Strong
50,Matthew Boyd,CHC,Pitcher,SP,,,,25.5745,86.2911,,,0.244654,,,11.1294,16.5066,164.94,3.93263,1.24619,183.403,0.0,0.0,2.9813227787622427,725.6000000000001,2.35501,,,,1.1967316406150037,0.6819236754130547,0.5233545362577179,0.6678985061397292,,,Tier 2 - Strong
51,Shane McClanahan,TBR,Pitcher,SP,5.5,1.849659272930664,JD Barnett,17.835,61.298,,,0.23727,,,8.9739,13.5896,153.623,3.56463,1.19719,142.175,0.0,0.0,2.9735206264695497,664.0,2.88847,,,,0.4164789194443099,0.3557281023276874,1.3153385902168415,1.2084476829991442,Partial,JD Barnett,Tier 2 - Strong
52,Francisco Lindor,NYM,Batter,Batter,16.6,5.706801296623948,Jake Zuckman & Andrew Meyers,26.2375,94.0617,73.2706,22.9672,0.259467,0.336618,0.452258,,,118.199,,,,,,2.9088098809082936,827.7,4.89002,1.0631033507651115,1.9583018933716976,0.7044584597461948,,,,,Partial,Jake Zuckman & Andrew Meyers,Tier 1 - Elite
53,Vinnie Pasquantino,KCR,Batter,Batter,5.7,1.9731683422355712,JD Barnett,24.3882,71.9436,80.7921,1.3744,0.265695,0.335241,0.472552,,,84.2061,,,,,,2.8887550433441387,726.8,1.93707,0.798859477997323,0.45771876735587325,1.2456737997754117,,,,,Partial,JD Barnett,Tier 1 - Elite
54,Salvador Perez,KCR,Batter,Batter,6.0,2.1112614852074274,Jake Levine & Johnny Drago,25.3974,68.5338,83.2852,0.4775,0.254321,0.301923,0.445271,,,116.861,,,,,,2.841902834887603,657.4,1.43316,0.943062644815715,0.22638387226593493,1.4250667352572757,,,,,,,Tier 2 - Strong
55,George Springer,TOR,Batter,Batter,5.1,1.8256135395486213,Brenden Freedman,25.7437,86.5848,72.7428,13.1382,0.260826,0.342038,0.455991,,,117.238,,,,,,2.793581384842798,784.4,2.56954,0.9925449641470756,1.4510381602794467,0.6664802032192494,,,,,,,Tier 2 - Strong
56,Alex Bregman,,Batter,Batter,7.9,2.840831660313827,Ethan Gobetz,22.6218,81.8935,78.9974,2.6924,0.261674,0.346405,0.44134,,,87.753,,,,,,2.780875794353576,790.9,3.73466,0.5464610694876048,1.1327610198795914,1.1165347755448143,,,,,Partial,Ethan Gobetz,Tier 2 - Strong
57,Munetaka Murakami,CHW,Batter,Batter,,,,29.6117,67.8949,74.7422,8.7333,0.230723,0.33341,0.457658,,,157.591,,,,,,2.6384767810585754,700.6,1.90848,1.54523803712918,0.18303826124095995,0.8103485740035893,,,,,,,Tier 2 - Strong
58,Teoscar Hernández,LAD,Batter,Batter,,,,26.0267,69.2884,79.3912,5.7187,0.254938,0.309396,0.460024,,,147.799,,,,,,2.6331676095743255,675.0,1.46803,1.0329824356191377,0.27757904847417775,1.1448709586071695,,,,,,,Tier 2 - Strong
59,Jack Flaherty,DET,Pitcher,SP,4.7,1.7865768683249563,JD Barnett,21.8341,77.7603,,,0.235885,,,10.0027,14.3886,178.924,3.91339,1.26658,165.689,0.0,0.0,2.6307292360762435,725.6000000000001,2.60553,,,,0.6301991540056346,1.084991528556624,0.5647615286440588,0.4429638588710852,,,Tier 2 - Strong
60,Corey Seager,TEX,Batter,Batter,,,,24.8444,70.871,73.8838,2.4976,0.275325,0.358328,0.497412,,,92.2472,,,,,,2.5894771122043436,727.6,3.91377,0.8640452535646539,0.3849491596153989,0.7485817392125129,,,,,,,Tier 2 - Strong
61,David Peterson,NYM,Pitcher,SP,,,,18.5194,82.0153,,,0.249223,,,11.6361,17.1399,160.561,3.67625,1.34956,181.959,0.0,0.0,2.566264589003243,746.0999999999999,2.34455,,,,1.3661296688348878,0.5557055597869329,1.0751177747197838,-0.4724396247165546,,,Tier 2 - Strong
62,Yandy Díaz,TBR,Batter,Batter,,,,21.3908,84.7058,72.6718,2.6888,0.294119,0.367193,0.467464,,,92.3661,,,,,,2.5405858215423036,829.7,2.81215,0.37056521301372375,1.3235590506912025,0.6613713433984592,,,,,,,Tier 2 - Strong
63,Tanner Bibee,CLE,Pitcher,SP,3.9,1.5432650272688697,Jake Zuckman & Andrew Meyers,25.5123,88.8182,,,0.246656,,,10.3237,15.8009,171.217,4.07779,1.2664,182.086,0.0,0.0,2.5271096869873775,722.0,2.33613,,,,1.0079677238065847,0.8628487979947329,0.2109512610601456,0.44494954972485523,Partial,Jake Zuckman & Andrew Meyers,Tier 2 - Strong
64,Seiya Suzuki,CHC,Batter,Batter,4.0,1.6157533845788552,Jake Levine & Johnny Drago,23.8906,73.541,79.535,6.9466,0.253644,0.334826,0.453714,,,147.671,,,,,,2.475625326350529,730.0,2.23217,0.7277581147305453,0.5660929715369588,1.155218198638573,,,,,,,Tier 2 - Strong
65,Yusei Kikuchi,LAA,Pitcher,SP,,,,26.3627,86.9228,,,0.243438,,,10.032,15.0256,181.773,4.09743,1.28426,177.726,0.0,0.0,2.4021296347861245,728.4000000000001,2.53386,,,,0.8005868754268662,1.1671096859941257,0.16868341644124046,0.24792489056752545,,,Tier 2 - Strong
66,Shea Langeliers,ATH,Batter,Batter,,,,26.6819,68.1468,71.5009,5.0797,0.250375,0.311108,0.483949,,,111.637,,,,,,2.3540403138945516,633.3,2.50118,1.1266030409495082,0.200128196155956,0.577118329818693,,,,,,,Tier 2 - Strong
67,Shota Imanaga,CHC,Pitcher,SP,1.5,0.6383443467057413,Tyler Hart,29.5606,83.65,,,0.249861,,,10.1861,14.6676,155.64,4.11696,1.19871,171.421,0.0,0.0,2.3498289093354465,645.6000000000001,2.15557,,,,0.70482737108024,0.413865106031247,0.12665230618629106,1.1916796269006484,,,Tier 2 - Strong
68,Eury Pérez,MIA,Pitcher,SP,15.7,6.761697585471527,JD Barnett,22.0271,72.8586,,,0.228595,,,9.0714,12.9536,171.754,3.99184,1.2217,154.035,0.0,0.0,2.32190212613674,685.0,2.61372,,,,0.2463586826720911,0.8783270186138753,0.395926884532393,0.9380627784108932,Partial,JD Barnett,Tier 2 - Strong
69,José Soriano,LAA,Pitcher,SP,,,,14.9303,79.6929,,,0.249749,,,10.6713,16.4599,164.636,3.65198,1.37541,177.273,0.0,0.0,2.3037371730700533,766.5,3.01263,,,,1.1842401075061009,0.6731613307794987,1.1273499839306207,-0.7576068945495312,,,Tier 2 - Strong
70,Carlos Rodón,NYY,Pitcher,SP,5.0,2.1754669987161397,Zack Semler,23.1336,77.5739,,,0.232716,,,10.0426,14.0791,174.421,4.0289,1.25909,161.648,0.0,0.0,2.2983570897424643,688.9000000000001,2.23125,,,,0.5474126551361352,0.9551992986720775,0.31616892518531314,0.5255906616195958,Partial,Zack Semler,Tier 2 - Strong
71,Joe Musgrove,SDP,Pitcher,SP,,,,21.578,74.3659,,,0.24658,,,9.7811,14.0353,150.212,3.89702,1.21375,158.921,0.0,0.0,2.285829071485244,657.8,2.31692,,,,0.535696827509369,0.2574111367189406,0.5999919062617519,1.0257641244523688,,,Tier 2 - Strong
72,Zac Gallen,,Pitcher,SP,17.6,7.88284667439818,Zack Semler,26.2749,96.5944,,,0.252149,,,10.89,16.2406,181.619,4.21687,1.31653,191.167,0.0,0.0,2.2326959697390896,756.6000000000001,2.34076,,,,1.1255807239775668,1.1626708666731798,-0.08836706020244911,-0.10806535304989,,,Tier 2 - Strong
73,Anthony Santander,TOR,Batter,Batter,,,,26.1,67.7429,74.8414,2.0497,0.230653,0.309004,0.434755,,,128.616,,,,,,2.2162325027128507,637.5,0.964448,1.043456169396177,0.17272595434505086,0.8174865865982707,,,,,,,Tier 2 - Strong
74,Cody Bellinger,,Batter,Batter,7.8,3.521342425719392,Nick & Alex Gianaris,22.1517,74.3627,80.6855,9.9782,0.267368,0.330754,0.451305,,,89.5982,,,,,,2.2150643297368333,741.0,2.7439,0.47928914249461446,0.6218404884867517,1.238003314467014,,,,,,,Tier 2 - Strong
75,Drew Rasmussen,TBR,Pitcher,SP,,,,21.4894,80.8952,,,0.25429,,,10.3897,14.5429,156.43,3.9171,1.25421,171.003,0.0,0.0,2.191263194056136,724.1000000000001,2.84433,,,,0.6714720353483283,0.4366356726776592,0.5567771241870255,0.5794249469884519,,,Tier 2 - Strong
76,Taylor Ward,BAL,Batter,Batter,,,,24.1956,72.7864,75.3315,4.724,0.243654,0.327804,0.436528,,,141.999,,,,,,2.1625786928226733,699.1,2.10184,0.7713391352216368,0.5148977953287159,0.8527521105161495,,,,,,,Tier 2 - Strong
77,Robbie Ray,SFG,Pitcher,SP,,,,25.791,89.8959,,,0.238781,,,10.0473,15.0126,187.191,4.20074,1.30887,179.798,0.0,0.0,2.1441417539799055,724.0,1.58436,,,,0.7971095749896984,1.3232754202855916,-0.05365319392429421,-0.023563175606152762,,,Tier 2 - Strong
78,Jordan Westburg,BAL,Batter,Batter,,,,22.9251,74.6399,72.1468,5.1886,0.264449,0.320766,0.465571,,,118.392,,,,,,2.071996961324679,679.8,3.20182,0.5897991793726804,0.6406468797469221,0.62359456303346,,,,,,,Tier 2 - Strong
79,Nolan McLean,NYM,Pitcher,SP,,,Ross & Jack Kantor,16.9825,74.3498,,,0.241677,,,10.3313,15.1649,154.152,3.74008,1.31564,162.945,0.0,0.0,2.0611830966440445,696.5000000000001,2.20424,,,,0.837847487034366,0.37097573493015784,0.9377472797083415,-0.0982472149395857,Partial,Ross & Jack Kantor,Tier 2 - Strong
80,Brandon Nimmo,TEX,Batter,Batter,6.0,2.918451471771407,Jake Zuckman & Andrew Meyers,22.5643,84.5793,71.2424,9.6937,0.255591,0.336227,0.427994,,,141.694,,,,,,2.0558847930262796,762.2,2.61449,0.5382449754605956,1.3149767689653313,0.558517762724689,,,,,,,Tier 2 - Strong
81,Merrill Kelly,ARI,Pitcher,SP,,,,23.9219,92.1214,,,0.25559,,,10.9999,16.0579,169.22,4.14773,1.31314,185.122,0.0,0.0,2.0111385711739125,742.1999999999999,2.48128,,,,1.0767112786029058,0.805288264332854,0.060431248196284086,-0.0706681753039018,,,Tier 2 - Strong
82,Elly De La Cruz,CIN,Batter,Batter,15.1,7.563005364410397,Nolan Chidester,23.2441,83.1261,81.8924,37.6072,0.263612,0.341835,0.465628,,,154.033,,,,,,1.9965607946090855,839.3,4.62364,0.6353806401486087,1.2163856875104953,1.324846735843236,,,,,,,Tier 2 - Strong
83,Mark Vientos,NYM,Batter,Batter,,,,24.7583,64.5727,73.8748,1.2397,0.248837,0.310528,0.457557,,,135.704,,,,,,1.9881731727334904,628.9,1.55723,0.8517425458129062,-0.042353488558967985,0.7479341372633986,,,,,,,Tier 2 - Strong
84,Marcus Semien,NYM,Batter,Batter,,,,21.9217,84.2,74.0968,9.544,0.241103,0.313937,0.399842,,,112.834,,,,,,1.9265094811060213,712.2,3.09023,0.4464247663865782,1.2892434926125793,0.7639083186748844,,,,,,,Tier 2 - Strong
85,Jo Adell,LAA,Batter,Batter,,,,27.2618,60.6432,72.3703,7.2502,0.237568,0.299846,0.472239,,,130.269,,,,,,1.91844174837248,585.9,1.67287,1.209464135319292,-0.30894697505551055,0.639676678103131,,,,,,,Tier 2 - Strong
86,Zach Neto,LAA,Batter,Batter,,,,26.0401,83.0504,69.3989,26.8771,0.252422,0.319721,0.4564,,,142.879,,,,,,1.9164333117058305,752.7,3.71573,1.0348971427489098,1.2112498872998354,0.42586729681444974,,,,,,,Tier 2 - Strong
87,Willy Adames,SFG,Batter,Batter,,,,23.7966,77.679,73.3273,10.9196,0.233355,0.320656,0.418046,,,153.0,,,,,,1.8732977795140817,704.3,3.36648,0.714326587103783,0.8468319579532192,0.7085383520256141,,,,,,,Tier 2 - Strong
